"country","iso2c","iso3c","year","status","lastupdated","gni_per_capita","gdp_per_capita","population","trade_gdp","region","capital","longitude","latitude","income","lending"
"Africa Western and Central","ZI","AFW",2019,"","2025-04-15",1671.33895536438,1783.65436491191,463365429,NA,"Aggregates","","","","Aggregates","Aggregates"
"Africa Western and Central","ZI","AFW",2020,"","2025-04-15",1674.52005628549,1664.24917643553,474569351,NA,"Aggregates","","","","Aggregates","Aggregates"
"Africa Western and Central","ZI","AFW",2018,"","2025-04-15",1598.67589156637,1703.89639222804,452195915,NA,"Aggregates","","","","Aggregates","Aggregates"
"Africa Western and Central","ZI","AFW",2023,"","2025-04-15",1680.83843434494,1568.72431045118,509398589,NA,"Aggregates","","","","Aggregates","Aggregates"
"Africa Western and Central","ZI","AFW",2021,"","2025-04-15",1729.82195875586,1747.84054911545,485920997,NA,"Aggregates","","","","Aggregates","Aggregates"
"Africa Western and Central","ZI","AFW",2022,"","2025-04-15",1771.57065373574,1777.23501216669,497387180,NA,"Aggregates","","","","Aggregates","Aggregates"
"Albania","AL","ALB",2019,"","2025-04-15",5280,5460.42823730592,2854191,75.3821602848745,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"Albania","AL","ALB",2020,"","2025-04-15",5320,5370.77862312929,2837849,59.5206994403142,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"Albania","AL","ALB",2021,"","2025-04-15",6150,6413.28328605026,2811666,75.5903160937554,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"Albania","AL","ALB",2022,"","2025-04-15",6820,6846.42614266044,2777689,84.6980639208685,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"Albania","AL","ALB",2018,"","2025-04-15",4880,5365.48934672897,2866376,75.6940706898154,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"Albania","AL","ALB",2023,"","2025-04-15",7680,8575.17113446213,2745972,82.4936845982876,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"Algeria","DZ","DZA",2021,"","2025-04-15",4120,4160.55926736925,44761099,46.8370592599607,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD"
"Algeria","DZ","DZA",2019,"","2025-04-15",4480,4468.45341883656,43294546,46.5068426081672,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD"
"Algeria","DZ","DZA",2022,"","2025-04-15",4430,4961.55257664733,45477389,51.2023757404409,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD"
"Algeria","DZ","DZA",2020,"","2025-04-15",4020,3743.5419522929,44042091,40.3897565625388,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD"
"Algeria","DZ","DZA",2023,"","2025-04-15",4950,5364.02795022731,46164219,43.682914195572,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD"
"Algeria","DZ","DZA",2018,"","2025-04-15",4450,4577.21029180491,42505035,52.4361676779223,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD"
"Andorra","AD","AND",2020,"","2025-04-15",42450,37361.0900666982,77380,NA,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"Andorra","AD","AND",2019,"","2025-04-15",46450,41257.8045846483,76474,NA,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"Andorra","AD","AND",2021,"","2025-04-15",44720,42425.6996756291,78364,NA,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"Andorra","AD","AND",2022,"","2025-04-15",50150,42414.0590092117,79705,NA,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"Angola","AO","AGO",2023,"","2025-04-15",2120,2308.15976731274,36749906,67.0416886089289,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"Angola","AO","AGO",2021,"","2025-04-15",1640,1925.87466082167,34532429,74.4644985871074,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"Angola","AO","AGO",2020,"","2025-04-15",1680,1449.92286669308,33451132,65.9420289329872,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"Angola","AO","AGO",2022,"","2025-04-15",1870,2929.69445467272,35635029,69.6910705054094,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"Angola","AO","AGO",2019,"","2025-04-15",2110,2189.85571407618,32375632,57.8295381183036,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"Angola","AO","AGO",2018,"","2025-04-15",1970,2538.59139143371,31297155,66.3780133263399,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"Antigua and Barbuda","AG","ATG",2019,"","2025-04-15",18240,18884.3729680383,91364,137.625175755884,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"Antigua and Barbuda","AG","ATG",2023,"","2025-04-15",20200,21787.1017315914,93316,NA,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"Antigua and Barbuda","AG","ATG",2020,"","2025-04-15",15370,15360.4544160475,91846,94.3457201737921,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"Antigua and Barbuda","AG","ATG",2022,"","2025-04-15",18900,20117.7653310355,92840,117.630005076464,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"Antigua and Barbuda","AG","ATG",2018,"","2025-04-15",17460,18273.4270684912,90926,130.655152659419,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"Antigua and Barbuda","AG","ATG",2021,"","2025-04-15",16670,17340.3790692554,92349,101.122883462968,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"Arab World","1A","ARB",2018,"","2025-04-15",6232.89401449629,6576.51663083912,435998060,81.4249328965275,"Aggregates","","","","Aggregates","Aggregates"
"Arab World","1A","ARB",2023,"","2025-04-15",7248.64080452573,7292.21040780618,481667539,90.5657752962819,"Aggregates","","","","Aggregates","Aggregates"
"Arab World","1A","ARB",2020,"","2025-04-15",5967.44220551252,5648.34111789395,453723239,75.6918617752705,"Aggregates","","","","Aggregates","Aggregates"
"Arab World","1A","ARB",2019,"","2025-04-15",6459.97471502342,6525.21184312384,444281315,80.9305291724086,"Aggregates","","","","Aggregates","Aggregates"
"Arab World","1A","ARB",2022,"","2025-04-15",6987.067581475,7658.40646973315,471352066,88.9633218366201,"Aggregates","","","","Aggregates","Aggregates"
"Arab World","1A","ARB",2021,"","2025-04-15",6308.32345808431,6445.80726093411,460646603,81.5619817577191,"Aggregates","","","","Aggregates","Aggregates"
"Argentina","AR","ARG",2020,"","2025-04-15",9040,8535.59938004389,45191965,30.203698807416,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"Argentina","AR","ARG",2021,"","2025-04-15",10070,10738.0179223384,45312281,33.078689567466,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"Argentina","AR","ARG",2019,"","2025-04-15",11210,9955.97478680428,44973465,32.6306150458499,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"Argentina","AR","ARG",2018,"","2025-04-15",12390,11752.7998922979,44654882,30.7625359549926,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"Argentina","AR","ARG",2023,"","2025-04-15",12890,14187.4827252965,45538401,26.6405121334437,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"Argentina","AR","ARG",2022,"","2025-04-15",11820,13935.6811110049,45407904,31.5477080051071,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"Armenia","AM","ARM",2021,"","2025-04-15",4580,4685.17997128509,2962300,79.6698888228399,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"Armenia","AM","ARM",2019,"","2025-04-15",4650,4597.22887399548,2962500,96.1141541288708,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"Armenia","AM","ARM",2020,"","2025-04-15",4230,4268.68093304583,2961500,69.4888075396076,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"Armenia","AM","ARM",2023,"","2025-04-15",6780,8053.01066312345,2990900,119.714642963872,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"Armenia","AM","ARM",2018,"","2025-04-15",4220,4196.00562301769,2969000,92.473107021212,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"Armenia","AM","ARM",2022,"","2025-04-15",5680,6571.97445545099,2969200,101.41077826094,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"Aruba","AW","ABW",2022,"","2025-04-15",30590,30559.5335346581,107310,172.884171078304,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified"
"Aruba","AW","ABW",2021,"","2025-04-15",28020,27200.0610793969,107700,147.015576101595,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified"
"Aruba","AW","ABW",2023,"","2025-04-15",30120,33984.7906198041,107359,169.798282934344,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified"
"Aruba","AW","ABW",2020,"","2025-04-15",22220,22855.9323200761,108587,124.137265493419,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified"
"Aruba","AW","ABW",2019,"","2025-04-15",28720,31096.2050738676,109203,145.343572735289,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified"
"Aruba","AW","ABW",2018,"","2025-04-15",28130,30082.1276448186,108908,145.213552350892,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified"
"Australia","AU","AUS",2018,"","2025-04-15",53080,57196.4220783778,24963258,43.7360650798433,"East Asia & Pacific","Canberra","149.129","-35.282","High income","Not classified"
"Australia","AU","AUS",2022,"","2025-04-15",60710,64997.0136536475,26014399,45.8217702307271,"East Asia & Pacific","Canberra","149.129","-35.282","High income","Not classified"
"Australia","AU","AUS",2019,"","2025-04-15",54890,54972.7017885437,25334826,46.1875018936291,"East Asia & Pacific","Canberra","149.129","-35.282","High income","Not classified"
"Australia","AU","AUS",2020,"","2025-04-15",53630,51791.540179984,25649248,44.6644560654359,"East Asia & Pacific","Canberra","149.129","-35.282","High income","Not classified"
"Australia","AU","AUS",2023,"","2025-04-15",63150,64820.9117890026,26658948,49.2251840594381,"East Asia & Pacific","Canberra","149.129","-35.282","High income","Not classified"
"Australia","AU","AUS",2021,"","2025-04-15",57180,60607.7788605166,25685412,40.3024802691697,"East Asia & Pacific","Canberra","149.129","-35.282","High income","Not classified"
"Austria","AT","AUT",2023,"","2025-04-15",55030,56033.573792065,9131761,116.813919411879,"Europe & Central Asia","Vienna","16.3798","48.2201","High income","Not classified"
"Austria","AT","AUT",2018,"","2025-04-15",48990,51194.0749841299,8840521,108.377969971828,"Europe & Central Asia","Vienna","16.3798","48.2201","High income","Not classified"
"Austria","AT","AUT",2022,"","2025-04-15",55930,52176.6649141178,9041851,124.38345148483,"Europe & Central Asia","Vienna","16.3798","48.2201","High income","Not classified"
"Austria","AT","AUT",2021,"","2025-04-15",53220,53648.7190742245,8955797,111.032268737901,"Europe & Central Asia","Vienna","16.3798","48.2201","High income","Not classified"
"Austria","AT","AUT",2020,"","2025-04-15",49050,48716.4098900349,8916864,99.9482141095975,"Europe & Central Asia","Vienna","16.3798","48.2201","High income","Not classified"
"Austria","AT","AUT",2019,"","2025-04-15",51050,49885.9947355204,8879920,108.207284904426,"Europe & Central Asia","Vienna","16.3798","48.2201","High income","Not classified"
"Azerbaijan","AZ","AZE",2018,"","2025-04-15",4080,4739.7943123408,9939771,91.6725765369825,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD"
"Azerbaijan","AZ","AZE",2019,"","2025-04-15",4510,4805.75371765917,10024283,85.8181454084561,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD"
"Azerbaijan","AZ","AZE",2021,"","2025-04-15",4910,5408.04535175023,10137750,76.286865687015,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD"
"Azerbaijan","AZ","AZE",2023,"","2025-04-15",6660,7125.90858368611,10153958,83.6193503542524,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD"
"Azerbaijan","AZ","AZE",2020,"","2025-04-15",4480,4229.91064904503,10093121,72.0178676487811,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD"
"Azerbaijan","AZ","AZE",2022,"","2025-04-15",5670,7770.594223351,10141756,86.9822732541779,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD"
"Bahamas, The","BS","BHS",2023,"","2025-04-15",33330,35896.50510715,399440,82.7048854482687,"Latin America & Caribbean","Nassau","-77.339","25.0661","High income","Not classified"
"Bahamas, The","BS","BHS",2019,"","2025-04-15",30960,32979.5401279534,394675,72.547364054025,"Latin America & Caribbean","Nassau","-77.339","25.0661","High income","Not classified"
"Bahamas, The","BS","BHS",2020,"","2025-04-15",24180,25155.6725432789,395863,57.9302484384728,"Latin America & Caribbean","Nassau","-77.339","25.0661","High income","Not classified"
"Bahamas, The","BS","BHS",2018,"","2025-04-15",30150,32124.4051059669,392717,76.2041249861285,"Latin America & Caribbean","Nassau","-77.339","25.0661","High income","Not classified"
"Bahamas, The","BS","BHS",2022,"","2025-04-15",31780,33044.388209429,397538,83.1741573033708,"Latin America & Caribbean","Nassau","-77.339","25.0661","High income","Not classified"
"Bahamas, The","BS","BHS",2021,"","2025-04-15",28150,28682.3270000732,396373,72.9515608370203,"Latin America & Caribbean","Nassau","-77.339","25.0661","High income","Not classified"
"Bahrain","BH","BHR",2019,"","2025-04-15",25800,27259.7438599327,1483756,135.417543398211,"Middle East & North Africa","Manama","50.5354","26.1921","High income","Not classified"
"Bahrain","BH","BHR",2020,"","2025-04-15",23870,24342.8444554718,1472204,135.460985012931,"Middle East & North Africa","Manama","50.5354","26.1921","High income","Not classified"
"Bahrain","BH","BHR",2021,"","2025-04-15",25240,27147.8083882286,1504365,153.799316485108,"Middle East & North Africa","Manama","50.5354","26.1921","High income","Not classified"
"Bahrain","BH","BHR",2022,"","2025-04-15",28310,30616.2610677495,1524693,166.345617522503,"Middle East & North Africa","Manama","50.5354","26.1921","High income","Not classified"
"Bahrain","BH","BHR",2023,"","2025-04-15",28300,29218.8605634137,1577059,157.831886473705,"Middle East & North Africa","Manama","50.5354","26.1921","High income","Not classified"
"Bahrain","BH","BHR",2018,"","2025-04-15",24200,26324.4066549559,1503091,144.075372574535,"Middle East & North Africa","Manama","50.5354","26.1921","High income","Not classified"
"Bangladesh","BD","BGD",2023,"","2025-04-15",2880,2551.01772674142,171466990,30.9829714104596,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",2019,"","2025-04-15",2220,2129.79896954606,164913055,31.5780544912404,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",2020,"","2025-04-15",2320,2248.85078828233,166298024,26.271447376215,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",2021,"","2025-04-15",2600,2482.84917843357,167658854,27.7240047036631,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",2022,"","2025-04-15",2850,2716.48592677835,169384897,33.7799672705735,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",2018,"","2025-04-15",2020,1965.24372731467,163523103,32.5146317240884,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Barbados","BB","BRB",2021,"","2025-04-15",18320,18696.7858952957,282147,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD"
"Barbados","BB","BRB",2022,"","2025-04-15",22290,22164.0260273876,282318,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD"
"Barbados","BB","BRB",2020,"","2025-04-15",17610,18347.1109131055,281698,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD"
"Barbados","BB","BRB",2019,"","2025-04-15",19490,20583.7265786414,281207,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD"
"Barbados","BB","BRB",2023,"","2025-04-15",22870,23804.0249914995,282336,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD"
"Barbados","BB","BRB",2018,"","2025-04-15",18820,20055.915870771,280711,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD"
"Belarus","BY","BLR",2019,"","2025-04-15",6370,6837.76832136779,9419758,130.850132114123,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD"
"Belarus","BY","BLR",2018,"","2025-04-15",5730,6360.05310087258,9438785,139.393394375409,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD"
"Belarus","BY","BLR",2023,"","2025-04-15",7790,7829.05313660622,9178298,132.998797317727,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD"
"Belarus","BY","BLR",2020,"","2025-04-15",6410,6542.8645398436,9379952,118.933883690331,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD"
"Belarus","BY","BLR",2021,"","2025-04-15",7040,7489.71894713888,9302585,136.014450556595,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD"
"Belarus","BY","BLR",2022,"","2025-04-15",7210,7994.64806074889,9228071,120.024207576094,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD"
"Belgium","BE","BEL",2020,"","2025-04-15",46090,45906.2875805246,11538604,156.950121282783,"Europe & Central Asia","Brussels","4.36761","50.8371","High income","Not classified"
"Belgium","BE","BEL",2021,"","2025-04-15",51210,51655.7883303715,11586195,177.390305424732,"Europe & Central Asia","Brussels","4.36761","50.8371","High income","Not classified"
"Belgium","BE","BEL",2022,"","2025-04-15",53680,50807.2047084918,11680210,191.996289195725,"Europe & Central Asia","Brussels","4.36761","50.8371","High income","Not classified"
"Belgium","BE","BEL",2023,"","2025-04-15",54580,54700.9093236712,11787423,168.927603708475,"Europe & Central Asia","Brussels","4.36761","50.8371","High income","Not classified"
"Belgium","BE","BEL",2019,"","2025-04-15",48050,46716.6227467964,11488980,165.46547893199,"Europe & Central Asia","Brussels","4.36761","50.8371","High income","Not classified"
"Belgium","BE","BEL",2018,"","2025-04-15",45980,47487.2100392561,11427054,168.277692877218,"Europe & Central Asia","Brussels","4.36761","50.8371","High income","Not classified"
"Belize","BZ","BLZ",2021,"","2025-04-15",6090,6122.61158580079,395346,99.3162710954122,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend"
"Belize","BZ","BLZ",2019,"","2025-04-15",5870,6190.04792278445,385829,102.122848888331,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend"
"Belize","BZ","BLZ",2020,"","2025-04-15",5170,5227.19363786168,390812,81.821964412463,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend"
"Belize","BZ","BLZ",2018,"","2025-04-15",5630,6031.28139580144,380226,100.664995094298,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend"
"Belize","BZ","BLZ",2022,"","2025-04-15",6710,7068.45478269722,402733,108.52917413145,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend"
"Belize","BZ","BLZ",2023,"","2025-04-15",6890,7459.99815132837,411106,106.531755710256,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend"
"Benin","BJ","BEN",2021,"","2025-04-15",1280,1318.83497843483,13413417,48.0548608324409,"Sub-Saharan Africa","Porto-Novo","2.6323","6.4779","Lower middle income","IDA"
"Benin","BJ","BEN",2019,"","2025-04-15",1170,1130.82135304977,12726755,63.68133231423,"Sub-Saharan Africa","Porto-Novo","2.6323","6.4779","Lower middle income","IDA"
"Benin","BJ","BEN",2018,"","2025-04-15",1120,1151.74096952152,12383347,61.7951944903448,"Sub-Saharan Africa","Porto-Novo","2.6323","6.4779","Lower middle income","IDA"
"Benin","BJ","BEN",2022,"","2025-04-15",1350,1264.70765976655,13759501,50.93352007034,"Sub-Saharan Africa","Porto-Novo","2.6323","6.4779","Lower middle income","IDA"
"Benin","BJ","BEN",2023,"","2025-04-15",1390,1394.37330217623,14111034,51.3504650113905,"Sub-Saharan Africa","Porto-Novo","2.6323","6.4779","Lower middle income","IDA"
"Benin","BJ","BEN",2020,"","2025-04-15",1190,1197.50136428063,13070169,44.8332333768726,"Sub-Saharan Africa","Porto-Novo","2.6323","6.4779","Lower middle income","IDA"
"Bermuda","BM","BMU",2021,"","2025-04-15",120990,112712.025120653,64648,72.2026726568347,"North America","Hamilton","-64.706","32.3293","High income","Not classified"
"Bermuda","BM","BMU",2022,"","2025-04-15",132240,120897.311155385,64749,75.5111919039139,"North America","Hamilton","-64.706","32.3293","High income","Not classified"
"Bermuda","BM","BMU",2019,"","2025-04-15",116920,115798.040775578,64107,77.5601016506443,"North America","Hamilton","-64.706","32.3293","High income","Not classified"
"Bermuda","BM","BMU",2023,"","2025-04-15",130290,125841.602522489,64698,77.544001866932,"North America","Hamilton","-64.706","32.3293","High income","Not classified"
"Bermuda","BM","BMU",2020,"","2025-04-15",110950,106973.175732348,64382,69.1958803841416,"North America","Hamilton","-64.706","32.3293","High income","Not classified"
"Bermuda","BM","BMU",2018,"","2025-04-15",117160,113204.82210838,63831,77.5552703807388,"North America","Hamilton","-64.706","32.3293","High income","Not classified"
"Bhutan","BT","BTN",2018,"","2025-04-15",3150,3400.20417159422,759759,79.7397203478125,"South Asia","Thimphu","89.6177","27.5768","Lower middle income","IDA"
"Bhutan","BT","BTN",2022,"","2025-04-15",3600,3711.32767902157,780914,85.5712165497647,"South Asia","Thimphu","89.6177","27.5768","Lower middle income","IDA"
"Bhutan","BT","BTN",2020,"","2025-04-15",3040,3191.66907031782,770006,71.8303510017133,"South Asia","Thimphu","89.6177","27.5768","Lower middle income","IDA"
"Bhutan","BT","BTN",2019,"","2025-04-15",3370,3576.87987077877,764824,76.123516713179,"South Asia","Thimphu","89.6177","27.5768","Lower middle income","IDA"
"Bhutan","BT","BTN",2021,"","2025-04-15",3300,3570.61257915864,775442,77.5824483207755,"South Asia","Thimphu","89.6177","27.5768","Lower middle income","IDA"
"Bolivia","BO","BOL",2021,"","2025-04-15",3330,3384.84486479247,11937360,59.0213965631402,"Latin America & Caribbean","La Paz","-66.1936","-13.9908","Lower middle income","IBRD"
"Bolivia","BO","BOL",2019,"","2025-04-15",3470,3503.8960106182,11671386,56.3973067329667,"Latin America & Caribbean","La Paz","-66.1936","-13.9908","Lower middle income","IBRD"
"Bolivia","BO","BOL",2020,"","2025-04-15",3150,3099.94219044572,11816299,45.5032625935066,"Latin America & Caribbean","La Paz","-66.1936","-13.9908","Lower middle income","IBRD"
"Bolivia","BO","BOL",2022,"","2025-04-15",3530,3643.92826968677,12077154,67.755898784076,"Latin America & Caribbean","La Paz","-66.1936","-13.9908","Lower middle income","IBRD"
"Bolivia","BO","BOL",2018,"","2025-04-15",3320,3500.72642189371,11508368,57.1099646333271,"Latin America & Caribbean","La Paz","-66.1936","-13.9908","Lower middle income","IBRD"
"Bolivia","BO","BOL",2023,"","2025-04-15",3620,3686.27996490544,12244159,56.4582389632269,"Latin America & Caribbean","La Paz","-66.1936","-13.9908","Lower middle income","IBRD"
"Bosnia and Herzegovina","BA","BIH",2018,"","2025-04-15",5720,6047.84584261133,3387000,98.4320911961869,"Europe & Central Asia","Sarajevo","18.4214","43.8607","Upper middle income","IBRD"
"Bosnia and Herzegovina","BA","BIH",2019,"","2025-04-15",6180,6122.3753450882,3345533,94.5161278874242,"Europe & Central Asia","Sarajevo","18.4214","43.8607","Upper middle income","IBRD"
"Bosnia and Herzegovina","BA","BIH",2023,"","2025-04-15",8280,8638.66620201187,3185073,99.8983684696212,"Europe & Central Asia","Sarajevo","18.4214","43.8607","Upper middle income","IBRD"
"Bosnia and Herzegovina","BA","BIH",2022,"","2025-04-15",7710,7655.59421024383,3204802,110.20596766123,"Europe & Central Asia","Sarajevo","18.4214","43.8607","Upper middle income","IBRD"
"Bosnia and Herzegovina","BA","BIH",2021,"","2025-04-15",6970,7295.3438240957,3244907,96.4859085777747,"Europe & Central Asia","Sarajevo","18.4214","43.8607","Upper middle income","IBRD"
"Bosnia and Herzegovina","BA","BIH",2020,"","2025-04-15",6160,6130.31133245161,3299349,82.1112652572898,"Europe & Central Asia","Sarajevo","18.4214","43.8607","Upper middle income","IBRD"
"Botswana","BW","BWA",2020,"","2025-04-15",6600,6323.31419156209,2365894,77.6632128124716,"Sub-Saharan Africa","Gaborone","25.9201","-24.6544","Upper middle income","IBRD"
"Botswana","BW","BWA",2023,"","2025-04-15",8340,7820.23240375076,2480244,68.8572126290116,"Sub-Saharan Africa","Gaborone","25.9201","-24.6544","Upper middle income","IBRD"
"Botswana","BW","BWA",2021,"","2025-04-15",7530,7808.20623956293,2401441,88.7551314233315,"Sub-Saharan Africa","Gaborone","25.9201","-24.6544","Upper middle income","IBRD"
"Botswana","BW","BWA",2022,"","2025-04-15",8250,8329.04032229144,2439892,85.6083027804928,"Sub-Saharan Africa","Gaborone","25.9201","-24.6544","Upper middle income","IBRD"
